iter	Passed	Remaining
606	2143	1387
607	2146	1383
608	2149	1379
609	2152	1375
610	2155	1372
611	2158	1368
612	2161	1364
613	2164	1360
614	2167	1356
615	2170	1352
616	2174	1349
617	2177	1345
618	2180	1342
619	2183	1337
620	2186	1334
621	2189	1330
622	2192	1326
623	2195	1323
624	2198	1319
625	2201	1315
626	2204	1311
627	2207	1307
628	2210	1303
629	2214	1300
630	2217	1296
631	2220	1292
632	2223	1289
633	2226	1285
634	2230	1281
635	2233	1278
636	2236	1274
637	2239	1270
638	2243	1267
639	2245	1263
640	2248	1259
641	2252	1255
642	2255	1252
643	2258	1248
644	2261	1244
645	2264	1240
646	2267	1237
647	2271	1233
648	2274	1230
649	2277	1226
650	2280	1222
651	2283	1218
652	2287	1215
653	2291	1212
654	2294	1208
655	2297	1204
656	2300	1201
657	2304	1197
658	2307	1193
659	2310	1190
660	2313	1186
661	2315	1182
662	2320	1179
663	2322	1175
664	2325	1171
665	2328	1167
666	2332	1164
667	2336	1161
668	2339	1157
669	2342	1153
670	2345	1149
671	2348	1146
672	2351	1142
673	2354	1138
674	2358	1135
675	2361	1131
676	2364	1128
677	2368	1124
678	2371	1121
679	2374	1117
680	2377	1113
681	2381	1110
682	2384	1106
683	2387	1103
684	2391	1099
685	2393	1095
686	2396	1091
687	2400	1088
688	2403	1084
689	2406	1081
690	2409	1077
691	2412	1073
692	2416	1070
693	2420	1067
694	2423	1063
695	2426	1059
696	2429	1056
697	2433	1052
698	2436	1049
699	2439	1045
700	2442	1041
701	2444	1037
702	2449	1034
703	2451	1030
704	2455	1027
705	2458	1023
706	2461	1019
707	2464	1016
708	2467	1012
709	2470	1009
710	2473	1005
711	2476	1001
712	2480	998
713	2483	994
714	2486	991
715	2489	987
716	2492	983
717	2495	980
718	2498	976
719	2501	972
720	2504	969
721	2507	965
722	2510	961
723	2513	958
724	2517	954
725	2520	951
726	2523	947
727	2526	943
728	2529	940
729	2532	936
730	2536	933
731	2538	929
732	2542	926
733	2546	922
734	2549	919
735	2552	915
736	2555	911
737	2558	908
738	2562	904
739	2565	901
740	2567	897
741	2571	893
742	2574	890
743	2577	886
744	2580	883
745	2583	879
746	2586	876
747	2589	872
748	2593	869
749	2596	865
750	2599	861
751	2602	858
752	2605	854
753	2609	851
754	2612	847
755	2614	843
756	2617	840
757	2621	836
758	2624	833
759	2628	829
760	2631	826
761	2635	823
762	2637	819
763	2642	816
764	2644	812
765	2647	808
766	2651	805
767	2654	801
768	2658	798
769	2661	794
770	2663	791
771	2667	787
772	2669	784
773	2673	780
774	2676	777
775	2680	773
776	2683	770
777	2686	766
778	2691	763
779	2695	760
780	2698	756
781	2701	753
782	2704	749
783	2708	746
784	2712	742
785	2715	739
786	2718	735
787	2721	732
788	2724	728
789	2727	725
790	2731	721
791	2734	718
792	2738	714
793	2741	711
794	2744	707
795	2747	704
796	2750	700
797	2754	697
798	2758	693
799	2761	690
800	2764	686
801	2768	683
802	2772	680
803	2776	676
804	2779	673
805	2782	669
806	2785	666
807	2790	663
808	2794	659
809	2797	656
810	2800	652
811	2805	649
812	2808	645
813	2811	642
814	2815	639
815	2819	635
816	2822	632
817	2825	628
818	2828	625
819	2831	621
820	2836	618
821	2840	614
822	2843	611
823	2846	607
824	2850	604
825	2853	601
826	2856	597
827	2859	593
828	2862	590
829	2866	587
830	2869	583
831	2872	580
832	2875	576
833	2878	572
834	2882	569
835	2885	566
836	2888	562
837	2891	558
838	2894	555
839	2898	552
840	2901	548
841	2904	545
842	2907	541
843	2910	537
844	2915	534
845	2918	531
846	2921	527
847	2924	524
848	2927	520
849	2930	517
850	2933	513
851	2936	510
852	2939	506
853	2942	503
854	2945	499
855	2949	496
856	2952	492
857	2955	489
858	2957	485
859	2960	482
860	2965	478
861	2969	475
862	2972	471
863	2975	468
864	2979	465
865	2982	461
866	2985	458
867	2989	454
868	2992	451
869	2995	447
870	2999	444
871	3001	440
872	3005	437
873	3008	433
874	3012	430
875	3014	426
876	3018	423
877	3021	419
878	3024	416
879	3028	412
880	3031	409
881	3034	406
882	3037	402
883	3040	399
884	3045	395
885	3048	392
886	3051	388
887	3054	385
888	3058	381
889	3061	378
890	3065	374
891	3067	371
892	3070	367
893	3074	364
894	3077	361
895	3081	357
896	3084	354
897	3087	350
898	3091	347
899	3094	343
900	3097	340
901	3101	336
902	3103	333
903	3107	329
904	3110	326
905	3113	323
906	3116	319
907	3119	316
908	3123	312
909	3126	309
910	3129	305
911	3133	302
912	3136	298
913	3139	295
914	3142	291
915	3145	288
916	3148	285
917	3151	281
918	3155	278
919	3158	274
920	3162	271
921	3165	267
922	3167	264
923	3171	260
924	3174	257
925	3177	253
926	3180	250
927	3182	246
928	3186	243
929	3189	240
930	3192	236
931	3195	233
932	3198	229
933	3201	226
934	3205	222
935	3208	219
936	3211	215
937	3214	212
938	3217	209
939	3221	205
940	3224	202
941	3226	198
942	3229	195
943	3232	191
944	3236	188
945	3239	184
946	3243	181
947	3246	178
948	3249	174
949	3252	171
950	3255	167
951	3259	164
952	3262	160
953	3265	157
954	3269	154
955	3272	150
956	3275	147
957	3278	143
958	3281	140
959	3285	136
960	3288	133
961	3291	130
962	3293	126
963	3297	123
964	3300	119
965	3303	116
966	3306	112
967	3309	109
968	3312	105
969	3315	102
970	3318	99
971	3321	95
972	3324	92
973	3327	88
974	3330	85
975	3334	82
976	3337	78
977	3340	75
978	3343	71
979	3348	68
980	3352	64
981	3355	61
982	3358	58
983	3361	54
984	3364	51
985	3367	47
986	3371	44
987	3374	40
988	3377	37
989	3381	34
990	3384	30
991	3387	27
992	3390	23
993	3393	20
994	3396	17
995	3399	13
996	3402	10
997	3405	6
998	3409	3
999	3412	0
