iter	Logloss
0	0.6785702288
1	0.6676445413
2	0.6542413965
3	0.6413673982
4	0.6304312001
5	0.6213603275
6	0.6106368835
7	0.6014836412
8	0.592777215
9	0.5857042294
10	0.5783300387
11	0.5706575602
12	0.5645814848
13	0.557114213
14	0.5517021822
15	0.5451701201
16	0.539904604
17	0.5362321919
18	0.5313335838
19	0.5260280665
20	0.5219881617
21	0.5177688954
22	0.5129882616
23	0.5086649236
24	0.5051120549
25	0.5018091989
26	0.4989807085
27	0.4959086473
28	0.4921559442
29	0.488777862
30	0.4859552594
31	0.48299776
32	0.4802014798
33	0.4780645991
34	0.4757905924
35	0.473469504
36	0.4711142148
37	0.4696536845
38	0.4671669135
39	0.4655447714
40	0.463473517
41	0.4618008977
42	0.4603524109
43	0.458871055
44	0.4570507979
45	0.4551647888
46	0.4534996831
47	0.4519205539
48	0.4508680316
49	0.4496746275
50	0.4481737626
51	0.4472145446
52	0.4460662653
53	0.4452082346
54	0.4443906228
55	0.4432586763
56	0.4424619863
57	0.441522246
58	0.440452708
59	0.4395708548
60	0.4388615635
61	0.4379246489
62	0.4373035185
63	0.4365059871
64	0.4358079163
65	0.4352056771
66	0.4344147807
67	0.433749421
68	0.4329227679
69	0.4323321208
70	0.4317652407
71	0.4312676602
72	0.4306610863
73	0.4301709591
74	0.4296907295
75	0.4291468897
76	0.428699026
77	0.4282756548
78	0.4278240422
79	0.4272502611
80	0.4268549609
81	0.4262914968
82	0.4258572563
83	0.4254878023
84	0.4249824398
85	0.4246621737
86	0.4242970694
87	0.4238921345
88	0.4234920589
89	0.4229888046
90	0.4225888264
91	0.4223328612
92	0.4220715135
93	0.4217139462
94	0.4213888782
95	0.420869625
96	0.4205510025
97	0.4202963637
98	0.4199626522
99	0.4196915372
100	0.4193802831
101	0.419001946
102	0.4187353352
103	0.4184356488
104	0.41813644
105	0.4178824431
106	0.417690125
107	0.4173388032
108	0.4170360433
109	0.4167650582
110	0.4165497926
111	0.4162976238
112	0.4160569141
113	0.4158415375
114	0.4156073594
115	0.4153481533
116	0.415140525
117	0.4149296694
118	0.4147778974
119	0.4145623319
120	0.4143302409
121	0.4141568197
122	0.4139472857
123	0.4137165748
124	0.4135268217
125	0.4133254129
126	0.4131587533
127	0.4129107208
128	0.4127087236
129	0.4125258677
130	0.4123811297
131	0.4121649161
132	0.41201392
133	0.4118451696
134	0.4116939634
135	0.4115429143
136	0.4113907663
137	0.4112200669
138	0.4110567597
139	0.4109034449
140	0.4107332737
141	0.4106104583
142	0.4104623412
143	0.4103182185
144	0.4102056457
145	0.4100698209
146	0.4099897026
147	0.4098496615
148	0.4097075507
149	0.4096057243
150	0.4094496498
151	0.4092952992
152	0.4091529446
153	0.4090395982
154	0.4088898951
155	0.4087744005
156	0.4086585434
157	0.4085331641
158	0.4084289354
159	0.4083238075
160	0.4081959195
161	0.4080893882
162	0.4079932565
163	0.4078597317
164	0.4077482215
165	0.4076161296
166	0.4075055903
167	0.4073995072
168	0.407314162
169	0.4072191902
170	0.4071105803
171	0.4070122487
172	0.406887048
173	0.4067929442
174	0.4066726315
175	0.4065338386
176	0.4064294683
177	0.4063598234
178	0.4063052844
179	0.4062259675
180	0.4060951037
181	0.4059933131
182	0.4058881963
183	0.4058179099
184	0.4057356175
185	0.4056330243
186	0.4055446015
187	0.4054766067
188	0.4053785117
189	0.4052988351
190	0.4052253013
191	0.4051838113
192	0.405087761
193	0.4049701172
194	0.4048993573
195	0.4048241827
196	0.4047206978
197	0.4046236203
198	0.4045201626
199	0.4044298649
200	0.4043243742
201	0.4042614934
202	0.4041861686
203	0.4041151504
204	0.4040026653
205	0.40391117
206	0.4038088993
207	0.4037354672
208	0.4036800252
209	0.4035820051
210	0.4035163293
211	0.4034611633
212	0.4033464255
213	0.4032934625
214	0.4032214441
215	0.4031312711
216	0.4029909034
217	0.4028934569
218	0.4028253373
219	0.4027720864
220	0.4027087258
221	0.4026207717
222	0.4025223959
223	0.4024734065
224	0.4023957921
225	0.4023346115
226	0.4022580521
227	0.4021773374
228	0.4020769964
229	0.4019281684
230	0.4018313723
231	0.4017905479
232	0.4017065437
233	0.4016259815
234	0.4015501556
235	0.4014664762
236	0.4014079359
237	0.4013699698
238	0.4013034936
239	0.4012412964
240	0.4011809417
241	0.401121292
242	0.4010859332
243	0.4010324296
244	0.4009628798
245	0.4009277492
246	0.4008570982
247	0.4008023229
248	0.4007143525
249	0.4006733556
250	0.4006357651
251	0.4005742972
252	0.4005387078
253	0.4004731149
254	0.4003936105
255	0.4003388233
256	0.4002684271
257	0.4002046562
258	0.4001418269
259	0.4000672116
260	0.3999742122
261	0.3999504515
262	0.3998726514
263	0.3998479913
264	0.3998100601
265	0.3997465106
266	0.3996618152
267	0.3996213927
268	0.3995573683
269	0.3994916485
270	0.3994527658
271	0.3994150233
272	0.3993566101
273	0.3993282173
274	0.3992914405
275	0.399217143
276	0.399165178
277	0.399099471
278	0.3990306586
279	0.3989971504
280	0.3989794508
281	0.3989202912
282	0.3988874704
283	0.3988194933
284	0.3987431768
285	0.3986997248
286	0.3986285896
287	0.3985866561
288	0.3985111734
289	0.3984926284
290	0.3983928408
291	0.3983271399
292	0.3982972676
293	0.398268775
294	0.3981937672
295	0.398154167
296	0.3981013742
297	0.3980567195
298	0.398023472
299	0.3979613606
300	0.3978939401
301	0.3977738519
302	0.397736162
303	0.3976489407
304	0.3975934396
305	0.3975376461
306	0.3975049724
307	0.397410422
308	0.3973562945
309	0.3973065593
310	0.3972545454
311	0.3972155578
312	0.3971489077
313	0.3971166227
314	0.3970625032
315	0.3969850329
316	0.3969269175
317	0.3968669115
318	0.396839214
319	0.3967338358
320	0.3966898369
321	0.3966291124
322	0.3965752928
323	0.3965313792
324	0.3964898308
325	0.3964360908
326	0.3963842315
327	0.3963437782
328	0.3962891589
329	0.396211009
330	0.3961447225
331	0.3960710139
332	0.3960142279
333	0.395940191
334	0.3958996704
335	0.3958663739
336	0.3958152999
337	0.3957647383
338	0.3957254158
339	0.3956886474
340	0.3956416275
341	0.3955810769
342	0.395534903
343	0.3955079692
344	0.3954406955
345	0.3953956848
346	0.3953627557
347	0.395272795
348	0.395221448
349	0.3951748811
350	0.395111218
351	0.395075785
352	0.3950437546
353	0.3950090091
354	0.3949766037
355	0.394920708
356	0.3948590914
357	0.3948013038
358	0.3947316166
359	0.3946921256
360	0.3946799277
361	0.3945967566
362	0.3945270762
363	0.3944784327
364	0.3944273128
365	0.3943924838
366	0.3943492218
367	0.3943073676
368	0.3942644681
369	0.3941831247
370	0.3941440351
371	0.3941103751
372	0.3940560571
373	0.394024481
374	0.3939339507
375	0.3938860586
376	0.393852251
377	0.3937728782
378	0.3937208562
379	0.393637257
380	0.3936157272
381	0.3935631706
382	0.3934992518
383	0.3934501717
384	0.3934086093
385	0.393370187
386	0.3933305608
387	0.3932855475
388	0.3932122406
389	0.3931661702
390	0.3931243393
391	0.3930853747
392	0.3929879724
393	0.392927932
394	0.3928625777
395	0.3928144378
396	0.3927537916
397	0.3927056406
398	0.3926783345
399	0.3926238808
400	0.3925873787
401	0.3925406364
402	0.3924944499
403	0.3924455074
404	0.3923927137
405	0.3923457203
406	0.3922840488
407	0.3922005285
408	0.3921772971
409	0.3921317947
410	0.3921159114
411	0.3920420916
412	0.3919845247
413	0.3919437676
414	0.3918861219
415	0.3918029227
416	0.3917459064
417	0.3917026013
418	0.3916502021
419	0.3915922877
420	0.3915337721
421	0.3914490719
422	0.3914037449
423	0.3913544486
424	0.3912920934
425	0.3912345335
426	0.3911846399
427	0.3911352911
428	0.3911060044
429	0.3910538666
430	0.3909938887
431	0.3909146808
432	0.3908676414
433	0.3908024099
434	0.3907190289
435	0.3906630866
436	0.3905966339
437	0.3905650064
438	0.3905017499
439	0.3904542572
440	0.3904032924
441	0.3903379137
442	0.3902897097
443	0.3902556809
444	0.3902054346
445	0.3901531952
446	0.3900951102
447	0.390048878
448	0.3899614095
449	0.3899033695
450	0.3898475971
451	0.3897980236
452	0.3897364195
453	0.389692185
454	0.3896393853
455	0.3895844339
456	0.3895172118
457	0.3894867398
458	0.3894344878
459	0.38938088
460	0.3892985224
461	0.3892527146
462	0.3891849902
463	0.3891372656
464	0.3890932198
465	0.3890575215
466	0.3890121834
467	0.3888945523
468	0.3887960723
469	0.3887606371
470	0.3886928687
471	0.3886483218
472	0.3885972174
473	0.3885305729
474	0.388482634
475	0.3884377339
476	0.388374466
477	0.3883200896
478	0.388260117
479	0.3882128111
480	0.3881267217
481	0.3880802809
482	0.3880393631
483	0.3879855181
484	0.3879478839
485	0.387887476
486	0.387811519
487	0.3877597695
488	0.3877049309
489	0.3876190437
490	0.3875624082
491	0.3875184609
492	0.3874813999
493	0.3874435393
494	0.3873841774
495	0.3873247229
496	0.3872741359
497	0.3872276145
498	0.387131393
499	0.3870711667
500	0.3869777281
501	0.3869348221
502	0.3868558887
503	0.386760754
504	0.3866458822
505	0.386591677
506	0.3865328955
507	0.3864779981
508	0.3864367984
509	0.3863598204
510	0.3863130447
511	0.3862769923
512	0.3862016158
513	0.3861674878
514	0.3861298179
515	0.3860566601
516	0.3859980678
517	0.3859604132
518	0.3859099347
519	0.3858726621
520	0.3858240469
521	0.3857895123
522	0.3857499843
523	0.3856988337
524	0.3856511736
525	0.3856002287
526	0.3855563673
527	0.3855223578
528	0.3854426045
529	0.3853720658
530	0.3853067113
531	0.3852555417
532	0.385211276
533	0.38513277
534	0.3850749583
535	0.3850051188
536	0.3849590964
537	0.3849228787
538	0.3848545315
539	0.3848055835
540	0.3847656878
541	0.384722971
542	0.384682097
543	0.3846006329
544	0.3845368869
545	0.3844687102
546	0.3844067006
547	0.3843712481
548	0.3843356316
549	0.3842614329
550	0.3842163096
551	0.384175627
552	0.3841517936
553	0.3841037823
554	0.384051014
555	0.3840190342
556	0.3839725101
557	0.3838988599
558	0.3838330503
559	0.3837943211
560	0.3837488281
561	0.3837148488
562	0.3836589768
563	0.383576413
564	0.383508892
565	0.3834399611
566	0.3834105125
567	0.3833455207
568	0.3832902225
569	0.3831976339
570	0.383123953
571	0.3830673217
572	0.38301742
573	0.3829571629
574	0.3828840392
575	0.3828433959
576	0.3828001946
577	0.3827660106
578	0.3827084359
579	0.3826799864
580	0.3826446398
581	0.3825850155
582	0.3825462369
583	0.3824997834
584	0.3824473501
585	0.3824140015
586	0.3823447389
587	0.3823127337
588	0.3822514876
589	0.3822198038
590	0.3821889251
591	0.3821305118
592	0.3820673426
593	0.3820039393
594	0.381975947
595	0.3819122964
596	0.381812848
597	0.3817519832
598	0.3817217851
599	0.3816667518
600	0.3816218336
601	0.3815715776
602	0.3815317145
603	0.3814597058
604	0.3814350151
605	0.3813746019
606	0.3813447643
607	0.3813208536
608	0.3812498417
609	0.3812231437
610	0.3811849295
611	0.3811098762
612	0.381076466
613	0.3810291519
614	0.3809811092
615	0.3809459471
616	0.3808783553
617	0.3808329921
618	0.3807707346
619	0.3807191949
620	0.380676179
621	0.3806477885
622	0.3806065934
623	0.3805378772
624	0.3804815825
625	0.3804403631
626	0.3804011683
627	0.3803614023
628	0.3803235184
629	0.3802982071
630	0.3802601604
631	0.3802026947
632	0.3801749729
633	0.3801366838
634	0.3801046672
635	0.3800740245
636	0.38003158
637	0.3800054861
638	0.3799447334
639	0.3798980792
640	0.3798459058
641	0.3797910393
642	0.3797479565
643	0.3797150265
644	0.3796602324
645	0.3796019715
646	0.3795293106
647	0.3794732144
648	0.3794117606
649	0.3793755055
650	0.3793329721
651	0.3792734007
652	0.379232268
653	0.3792069552
654	0.3791546475
655	0.3790890965
656	0.3790375413
657	0.3789878336
658	0.3789446383
659	0.378880848
660	0.3788260825
661	0.378774145
662	0.3787248941
663	0.3786245641
664	0.3785731948
665	0.3785159533
666	0.3784507578
667	0.3783806546
668	0.3783569465
669	0.3783019113
670	0.3782495064
671	0.3782071826
672	0.3781659025
673	0.3781253633
674	0.3780791232
675	0.378042581
676	0.3779756698
677	0.3779160524
678	0.3778921675
679	0.3778532882
680	0.3777916913
681	0.3777376675
682	0.3776800749
683	0.3776080445
684	0.3775260842
685	0.3775034594
686	0.3774504811
687	0.3774080622
688	0.3773675501
689	0.3773148479
690	0.3772274748
691	0.3771959089
692	0.3771651024
693	0.3771263237
694	0.3770735394
695	0.3770108279
696	0.3769548786
697	0.3768900209
698	0.3768332236
699	0.3767761117
700	0.3767423691
701	0.3767034313
702	0.3766632685
703	0.3766092024
704	0.376562082
705	0.3765105144
706	0.3764275146
707	0.3763664593
708	0.3763315477
709	0.3762187381
710	0.3761753325
711	0.3761149895
712	0.3760735103
713	0.3760412833
714	0.3760134683
715	0.375965473
716	0.3758903433
717	0.3758543576
718	0.3758206592
719	0.3757721353
720	0.3757510376
721	0.3757134252
722	0.3756595193
723	0.3756219681
724	0.3755551347
725	0.3754832116
726	0.3753919483
727	0.3753399487
728	0.3752910054
729	0.3752232093
730	0.3751807999
731	0.3751197976
732	0.3750923194
733	0.3750399153
734	0.3750004124
735	0.3749497276
736	0.3748729235
737	0.3748341345
738	0.3747970463
739	0.3747536932
740	0.3747075537
741	0.3746725836
742	0.3746199287
743	0.3745678743
744	0.3745096009
745	0.374486689
746	0.3744635799
747	0.3744113442
748	0.3743551073
749	0.3743015991
750	0.3741861914
751	0.3741500114
752	0.3740860824
753	0.3740721338
754	0.3740238322
755	0.3739715012
756	0.3739214764
757	0.3738495877
758	0.3737942021
759	0.3737554141
760	0.3737306297
761	0.3737190222
762	0.3736709899
763	0.373594842
764	0.3735517791
765	0.3734959025
766	0.3734174514
767	0.3733534306
768	0.3733178903
769	0.373260977
770	0.3732103249
771	0.373176578
772	0.3731484199
773	0.3731075109
774	0.3730742117
775	0.3730420228
776	0.3730198288
777	0.3729947311
778	0.372909058
779	0.372873659
780	0.3728246413
781	0.3727796094
782	0.3727561624
783	0.3727348774
784	0.3726764315
785	0.3726297127
786	0.3725691724
787	0.3725500623
788	0.3725283512
789	0.372470691
790	0.3724078711
791	0.3723788485
792	0.3723312673
793	0.3722957257
794	0.3722643547
795	0.3722151457
796	0.3721799325
797	0.3720768264
798	0.3720215504
799	0.3719640103
800	0.371919789
801	0.3718797423
802	0.3718087835
803	0.37175822
804	0.3717188391
805	0.3716897637
806	0.3716556215
807	0.3716482994
808	0.3715609503
809	0.3715194865
810	0.3714776566
811	0.371449421
812	0.3714075528
813	0.3713830628
814	0.3713345766
815	0.3713039187
816	0.3712591112
817	0.3711917459
818	0.3711695987
819	0.3711329684
820	0.3710979826
821	0.371073503
822	0.3710241193
823	0.3709967782
824	0.3709467205
825	0.3709214097
826	0.3708914371
827	0.3708426923
828	0.3708050437
829	0.3707578255
830	0.3707046402
831	0.3706767422
832	0.370641286
833	0.3706073899
834	0.3705483802
835	0.3705100681
836	0.3704493301
837	0.3704091671
838	0.3703773724
839	0.3703439465
840	0.37028833
841	0.370190987
842	0.3701328922
843	0.370086457
844	0.3700424045
845	0.3699999829
846	0.3699073197
847	0.3698612604
848	0.3698192421
849	0.3697833703
850	0.3697225463
851	0.3696640643
852	0.3696324346
853	0.3696117093
854	0.3695732985
855	0.3695260626
856	0.3695041521
857	0.3694125123
858	0.3693904147
859	0.3693555043
860	0.3693075956
861	0.3692741019
862	0.3692548077
863	0.3692130414
864	0.3691668531
865	0.3691175048
866	0.3690733087
867	0.3690195175
868	0.3689868476
869	0.3689449606
870	0.3689050466
871	0.3688533275
872	0.368834862
873	0.3688054775
874	0.3687902228
875	0.3687586326
876	0.3687258435
877	0.3686789201
878	0.3686462926
879	0.368616842
880	0.3685682726
881	0.3685209868
882	0.3684681672
883	0.368430433
884	0.3683865923
885	0.3683543996
886	0.3683324309
887	0.3682859
888	0.3682586669
889	0.3682464504
890	0.3681949044
891	0.3681612837
892	0.3681289101
893	0.368079834
894	0.3680411938
895	0.3679955874
896	0.3679629643
897	0.3679370699
898	0.3678866189
899	0.3678671107
900	0.3678236988
901	0.3677818025
902	0.3677514471
903	0.3677341937
904	0.3676971892
905	0.3676665116
906	0.3676137853
907	0.3676072865
908	0.3675590547
909	0.3675130971
910	0.3674705681
911	0.3674313245
912	0.3673998844
913	0.3673586349
914	0.3673270016
915	0.367320415
916	0.3672724307
917	0.3672608619
918	0.3671892102
919	0.3671408383
920	0.3671139623
921	0.3670782547
922	0.3670513143
923	0.3670198673
924	0.3669910953
925	0.3669720286
926	0.3669249034
927	0.3669098211
928	0.3668562243
929	0.3668058785
930	0.3667780506
931	0.3667479063
932	0.3667154404
933	0.366643938
934	0.366595899
935	0.3665479263
936	0.3665083311
937	0.3664897385
938	0.3663979097
939	0.3663709565
940	0.3663304479
941	0.3662709061
942	0.3662372444
943	0.3662264133
944	0.366208288
945	0.3661376402
946	0.3660916174
947	0.366036781
948	0.3660054056
949	0.3659793497
950	0.365923965
951	0.3658843599
952	0.3658397619
953	0.3657896824
954	0.3657463714
955	0.3656985009
956	0.3656595068
957	0.3656327631
958	0.3655885613
959	0.3655429441
960	0.3654898118
961	0.365483054
962	0.3654415941
963	0.3653570177
964	0.3653142699
965	0.3652806916
966	0.3652229074
967	0.3651566383
968	0.3651211179
969	0.3650825025
970	0.3650101419
971	0.3649909803
972	0.36497798
973	0.3649524063
974	0.3649073512
975	0.3648889896
976	0.3648683617
977	0.3648038858
978	0.3647648868
979	0.3647207399
980	0.3646838581
981	0.3646570721
982	0.3646135326
983	0.3645618582
984	0.364519895
985	0.3644957089
986	0.3644671341
987	0.3644219539
988	0.3643928761
989	0.3643138051
990	0.3642966755
991	0.364261558
992	0.3642226531
993	0.3641625015
994	0.3641123467
995	0.3641070601
996	0.3640825251
997	0.3640422962
998	0.3640069757
999	0.3639920703
